Intercept;Maximum_height;Leaf_area;Anemochoric;Zoochoric;Climax;Early_secondary;Late_secondary;Central_sa;Eastern_sa;Local_endemic;Neotropical;Pantropical;Regional_endemic;Sa;Southern_sa;Seed_length;Wood_density;Leaf_type
1;25;1.616090237;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.001292396;0.505333333;0
1;30;0.86357283;1;0;0;1;0;0;1;0;0;0;0;0;0;-0.300943145;0.755428571;0
1;20.15;1.269609109;0;1;0;1;0;0;1;0;0;0;0;0;0;0.025346835;0.7032;0
1;14.8;2.015663813;1;0;0;1;0;0;1;0;0;0;0;0;0;-0.055467979;0.676666667;0
1;9.7;1.147335932;0;1;0;1;0;0;0;0;0;0;1;0;0;-0.001292396;0.88;0
1;14.6;1.894274815;0;1;0;1;0;0;0;0;0;0;1;0;0;-0.031470356;0.5025;0
1;11.2;2.100508395;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.001292396;0.39;0
1;19.2;1.910266889;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.057942316;0.476969929;0
1;30;1.758908229;0;1;0;0;0;0;0;0;0;0;1;0;0;-0.124880835;0.48;0
1;13.5;1.800885762;0;1;0;0;1;0;1;0;0;0;0;0;0;4.34E-05;0.46;0
1;21.75;1.485148556;0;1;1;0;0;0;1;0;0;0;0;0;0;0.015820634;0.486804323;0
1;16;2.441284505;0;1;0;1;0;0;0;0;0;0;1;0;0;0.176120211;0.417712721;0
1;26;1.571783491;1;0;0;0;0;0;0;0;0;0;0;1;0;0.113976758;0.618285714;0
1;16.4;0.892367023;0;1;1;0;0;0;1;0;0;0;0;0;0;-0.455807889;0.575;0
1;12.36;2.079781312;0;1;0;0;1;0;0;0;0;0;0;1;0;-0.221776373;0.726666667;0
1;14.5;1.384696848;0;1;0;0;1;0;0;0;0;0;0;1;0;-0.346690987;0.7525;0
1;9.4;1.652232751;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.193752173;0.88;0
1;8;1.724795593;0;1;0;1;0;0;0;0;0;0;0;1;0;0.496251398;0.772666667;0
1;28;1.714633817;1;0;0;0;1;0;0;1;0;0;0;0;0;0.845104244;0.51;0
1;29.9;1.502356168;0;1;0;1;0;0;1;0;0;0;0;0;0;0.230474467;0.53737794;0
1;17.835;1.552017324;0;1;0;0;1;0;1;0;0;0;0;0;0;0.337678849;0.5425;0
1;12;2.092783856;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.102317938;0.599666667;0
1;5.9;2.133763125;0;1;1;0;0;0;0;0;0;0;0;1;0;0.171170435;0.585519607;0
1;16;1.230843338;1;0;0;1;0;0;0;0;1;0;0;0;0;-0.022230682;0.6;0
